epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
64,357.893,1.68232,10.6705,0.76942,0.04499,0.61722,0.37388,0.41759,0.22952,1.9377,14.1023,1.40672,0.0417,0.00149054,0.00149054,0.00149054
65,363.498,1.62161,10.715,0.74214,0.04025,0.55548,0.35775,0.39378,0.22614,1.88727,13.7069,1.41472,0.04436,0.00147063,0.00147063,0.00147063
66,369.089,1.55089,10.1707,0.76207,0.03486,0.61544,0.31699,0.37676,0.2088,1.95299,14.3536,1.48078,0.04618,0.00145071,0.00145071,0.00145071
67,374.56,1.55963,10.3085,0.77071,0.03845,0.5737,0.37298,0.36766,0.19744,1.92623,14.4587,1.40744,0.04878,0.00143079,0.00143079,0.00143079
68,380.064,1.61653,10.2075,0.76588,0.03469,0.50684,0.39237,0.38621,0.20576,1.97867,13.8838,1.48147,0.04081,0.00141088,0.00141088,0.00141088
69,385.505,1.55978,10.0005,0.78469,0.03358,0.5813,0.35991,0.36004,0.20721,1.94949,13.7752,1.43266,0.04206,0.00139096,0.00139096,0.00139096
70,390.951,1.57192,10.481,0.78961,0.03476,0.55099,0.32505,0.3606,0.18949,1.9468,13.7249,1.50685,0.03882,0.00137104,0.00137104,0.00137104
71,396.599,1.57464,10.2966,0.76041,0.03787,0.55545,0.36574,0.36553,0.21469,1.91857,13.7244,1.46978,0.04038,0.00135112,0.00135112,0.00135112
72,402.044,1.54055,9.63671,0.75483,0.03622,0.47323,0.36449,0.34623,0.20081,1.94018,13.6432,1.39533,0.04326,0.00133121,0.00133121,0.00133121
73,407.538,1.61434,10.0716,0.74539,0.03301,0.54147,0.41808,0.40414,0.21819,1.89507,13.6818,1.40483,0.04268,0.00131129,0.00131129,0.00131129
74,413.03,1.62407,10.1614,0.81867,0.04024,0.56465,0.42636,0.40928,0.22489,1.89817,13.4549,1.39615,0.04039,0.00129137,0.00129137,0.00129137
75,418.487,1.58454,9.37971,0.77446,0.03839,0.64219,0.37951,0.40658,0.22434,1.84765,12.9759,1.42028,0.03994,0.00127146,0.00127146,0.00127146
76,424.097,1.58846,10.205,0.75397,0.03765,0.54532,0.35464,0.38614,0.21244,1.88059,13.7329,1.43553,0.04219,0.00125154,0.00125154,0.00125154
77,429.53,1.62281,10.5731,0.80607,0.03572,0.55356,0.39835,0.37825,0.20919,1.89579,13.2058,1.40402,0.04088,0.00123162,0.00123162,0.00123162
78,435.144,1.61079,9.62063,0.77138,0.03503,0.63519,0.37081,0.39177,0.22628,1.86451,13.4551,1.41289,0.04807,0.00121171,0.00121171,0.00121171
79,440.63,1.5827,10.1994,0.77775,0.03622,0.51882,0.39915,0.38575,0.20582,1.93422,13.0789,1.42619,0.04812,0.00119179,0.00119179,0.00119179
80,446.343,1.53907,9.68566,0.77774,0.03618,0.54814,0.41656,0.40412,0.22345,1.92421,12.5642,1.45592,0.0459,0.00117187,0.00117187,0.00117187
81,451.759,1.55533,9.22486,0.76261,0.0336,0.57182,0.37669,0.39998,0.21939,1.8841,13.5257,1.42785,0.03803,0.00115195,0.00115195,0.00115195
82,457.246,1.56851,9.78233,0.7799,0.03362,0.4608,0.42092,0.36784,0.20294,1.86733,13.4325,1.42314,0.03736,0.00113204,0.00113204,0.00113204
